(-0.101959900132039,-0.111770900144745)
(-0.142133600184065,-2.760891003575390E-002)
(-0.637626500825735,9.403250012177332E-002)
(0.730025100945392,8.832281011437919E-002)
(-0.624775920560279,-3.336739109806225E-002)
(0.379660312493954,0.174257705734515)
(0.578371019033175,9.580249315269183E-002)
(6.781348223162263E-002,-0.292821009636225)
(-0.324898899093935,-0.502864598597632)
(-0.671384698127670,7.927352977892523E-002)
(-0.260128799274563,0.233421699349043)
(7.110273980171160E-002,0.239411599332339)
